session_id,trial_id,timestamp_wall,timestamp_mono,device_name,seq,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
independent_20260430_071132,trial_001,1777504292.4011297,227083.3761964,L_Tibia,14,0.1388,-3.9717,9.1014,-0.2441,-0.2441,0.4883,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.4011297,227083.3763033,L_Foot,15,3.0529,-7.8812,-4.6512,-0.5493,-0.2441,0.3052,-121.7175,-18.7811,36.7603,-0.8428,0.1963,0.2867,0.411
independent_20260430_071132,trial_001,1777504292.4011297,227083.3763931,R_Femur,15,-9.7282,-0.6651,-0.2728,0.6714,-0.5493,-0.4883,-111.3904,85.7648,-98.0585,-0.6865,-0.2056,-0.6804,-0.1537
independent_20260430_071132,trial_001,1777504292.4011297,227083.3764794,R_Tibia,8,-4.766,-7.9242,3.3161,0.1831,-0.3662,0.3052,-67.3132,28.949,173.15,0.1756,0.5481,0.7962,0.1864
independent_20260430_071132,trial_001,1777504292.4011297,227083.3765872,R_Foot,7,-7.484,-3.9382,-4.6416,0.4883,0.0,-0.1221,-139.4495,50.9271,-37.5952,-0.8498,-0.1319,-0.4826,0.1662
independent_20260430_071132,trial_001,1777504292.4011297,227083.3767291,Trunk,14,-3.4501,-6.6227,-6.1729,0.4272,-0.1831,-0.7324,-133.1543,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3404
independent_20260430_071132,trial_001,1777504292.4011297,227083.3768412,L_Femur,14,-3.1678,-7.6993,5.3115,-0.1221,-0.1221,-0.2441,-54.8273,18.2977,-76.0089,-0.4451,-0.1687,-0.5973,0.6455
independent_20260430_071132,trial_001,1777504292.4011297,227083.3769473,L_Tibia,15,0.1436,-3.9669,9.1014,-0.2441,-0.2441,0.4883,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.4011297,227083.3770342,L_Foot,16,3.0529,-7.8859,-4.656,-0.5493,-0.2441,0.2441,-121.712,-18.7811,36.7712,-0.8428,0.1964,0.2868,0.411
independent_20260430_071132,trial_001,1777504292.4021292,227083.3772717,R_Femur,16,-9.733,-0.6651,-0.2728,0.6714,-0.5493,-0.5493,-111.3959,85.7648,-98.0585,-0.6864,-0.2056,-0.6804,-0.1537
independent_20260430_071132,trial_001,1777504292.4021292,227083.3774296,Trunk,15,-3.4453,-6.6227,-6.1729,0.4272,-0.1221,-0.7324,-133.1543,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3404
independent_20260430_071132,trial_001,1777504292.4021292,227083.3775941,L_Femur,15,-3.1726,-7.6993,5.3163,-0.1831,-0.1221,-0.2441,-54.8273,18.3032,-76.0034,-0.4451,-0.1686,-0.5973,0.6455
independent_20260430_071132,trial_001,1777504292.4021292,227083.3776915,L_Tibia,16,0.1388,-3.9669,9.0966,-0.2441,-0.2441,0.4272,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.4021292,227083.3777804,L_Foot,17,3.0529,-7.8812,-4.6512,-0.5493,-0.2441,0.3052,-121.7065,-18.7811,36.7712,-0.8428,0.1964,0.2868,0.411
independent_20260430_071132,trial_001,1777504292.4021292,227083.3778863,R_Femur,17,-9.7282,-0.6651,-0.268,0.7324,-0.6104,-0.4883,-111.3904,85.7648,-98.0585,-0.6865,-0.2056,-0.6804,-0.1537
independent_20260430_071132,trial_001,1777504292.4021292,227083.3779796,R_Tibia,9,-4.7708,-7.9242,3.3257,0.1831,-0.3052,0.3662,-67.3132,28.9545,173.15,0.1757,0.5481,0.7962,0.1865
independent_20260430_071132,trial_001,1777504292.4031284,227083.3780655,R_Foot,8,-7.4888,-3.943,-4.6368,0.5493,0.061,-0.1221,-139.455,50.9271,-37.5952,-0.8498,-0.1319,-0.4826,0.1662
independent_20260430_071132,trial_001,1777504292.4031284,227083.3781499,Trunk,16,-3.4501,-6.6227,-6.1824,0.4883,-0.1221,-0.7935,-133.1488,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3404
independent_20260430_071132,trial_001,1777504292.4031284,227083.3782342,L_Femur,16,-3.1726,-7.6993,5.3115,-0.1221,-0.1221,-0.2441,-54.8273,18.3032,-75.9979,-0.4451,-0.1686,-0.5973,0.6455
independent_20260430_071132,trial_001,1777504292.4031284,227083.3783379,L_Tibia,17,0.134,-3.9717,9.1062,-0.2441,-0.1831,0.4272,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.4031284,227083.3784252,L_Foot,18,3.0529,-7.8859,-4.6464,-0.5493,-0.2441,0.3052,-121.701,-18.7811,36.7822,-0.8427,0.1964,0.2868,0.4111
