Session_ID,Trial_ID,Subject_ID,Timestamp,IMU_Recv_Timestamp,IMU_Recv_Timestamp_Mono,IMU_Device_ID,IMU_Device_Name,IMU_Device_Seq,IMU_Parse_OK_Flag,IMU_Acc_X,IMU_Acc_Y,IMU_Acc_Z,IMU_Gyro_X,IMU_Gyro_Y,IMU_Gyro_Z,IMU_Roll,IMU_Pitch,IMU_Yaw,IMU_Quat_x,IMU_Quat_y,IMU_Quat_z,IMU_Quat_w
independent_20260430_182902,trial_001,subject_001,1777544943.4637363,1777544943.4637363,267735.0733005,11,L_Tibia,16,1,0.2919,6.5126,-1.091,-19.5312,-62.5,-15.9302,17.3804,-10.0031,145.5249,-0.0377,-0.1693,0.9366,0.3044
independent_20260430_182902,trial_001,subject_001,1777544943.4637363,1777544943.4637363,267735.0734781,12,L_Foot,17,1,-3.1295,7.6371,3.9095,-17.6392,-40.2222,-58.6548,-14.3427,6.2512,-71.8616,-0.1327,-0.0293,-0.5869,0.7982
independent_20260430_182902,trial_001,subject_001,1777544943.464732,1777544943.464732,267735.0736886,13,R_Femur,14,1,0.5216,9.2784,-1.5839,46.936,-41.1987,-4.8218,72.1307,-18.88,-174.5068,0.1603,0.5737,-0.8011,-0.0582
independent_20260430_182902,trial_001,subject_001,1777544943.464732,1777544943.464732,267735.0738388,14,R_Tibia,8,1,0.4737,9.0918,-3.0099,42.4805,-22.522,-10.498,102.5574,-77.6514,-93.7518,0.7017,0.1755,-0.6901,-0.0239
independent_20260430_182902,trial_001,subject_001,1777544943.464732,1777544943.464732,267735.0740148,15,R_Foot,8,1,0.5742,0.8661,10.0488,8.728,-0.9155,-1.5259,5.3339,-4.9164,-131.5558,0.0581,0.0248,-0.911,0.4076
independent_20260430_182902,trial_001,subject_001,1777544943.5232663,1777544943.5232663,267735.1327606,10,L_Femur,18,1,-1.9906,8.5941,2.9237,21.9116,-62.5,-17.8223,0.1263,-70.329,16.3586,-0.081,-0.5702,0.1157,0.8093
independent_20260430_182902,trial_001,subject_001,1777544943.5232663,1777544943.5232663,267735.1329681,11,L_Tibia,17,1,0.0813,6.527,-1.3207,4.2114,-59.5093,-13.1836,16.8036,-11.3708,143.9648,-0.0482,-0.1686,0.9317,0.3182
independent_20260430_182902,trial_001,subject_001,1777544943.5242674,1777544943.5242674,267735.1331573,12,L_Foot,18,1,-1.6461,10.1445,2.3447,40.6494,-111.9995,-46.936,-13.9087,4.1748,-72.3615,-0.119,-0.0422,-0.5892,0.7981
independent_20260430_182902,trial_001,subject_001,1777544943.5242674,1777544943.5242674,267735.1333455,13,R_Femur,15,1,0.5216,9.398,-1.7418,45.105,-37.9028,-4.6997,73.0151,-19.0118,-175.188,0.1573,0.5807,-0.7962,-0.0649
independent_20260430_182902,trial_001,subject_001,1777544943.5242674,1777544943.5242674,267735.1335263,10,L_Femur,19,1,-0.9666,8.3549,3.1343,19.043,-58.2275,-20.9961,4.2847,-72.6141,11.1786,-0.0276,-0.5918,0.0564,0.8036
independent_20260430_182902,trial_001,subject_001,1777544943.5242674,1777544943.5242674,267735.1336987,11,L_Tibia,18,1,-0.5981,6.2877,-1.6222,30.2734,-67.5659,-5.249,16.6278,-12.865,142.4872,-0.0588,-0.1717,0.9258,0.3315
independent_20260430_182902,trial_001,subject_001,1777544943.5242674,1777544943.5242674,267735.1338646,12,L_Foot,19,1,1.359,13.5276,-0.5886,108.8867,-80.3223,-49.1333,-12.5134,2.6807,-72.7515,-0.1015,-0.0459,-0.5914,0.7986
independent_20260430_182902,trial_001,subject_001,1777544943.5242674,1777544943.5242674,267735.1339876,13,R_Femur,16,1,0.4977,9.422,-1.6892,42.4805,-31.9214,-7.019,74.1083,-19.0997,-176.012,0.153,0.5893,-0.79,-0.0725
independent_20260430_182902,trial_001,subject_001,1777544943.5242674,1777544943.5242674,267735.1340875,14,R_Tibia,9,1,0.3828,9.1779,-2.8232,50.4761,-27.5269,-13.3057,107.7539,-76.9867,-97.8937,0.6919,0.2358,-0.6781,-0.0761
independent_20260430_182902,trial_001,subject_001,1777544943.5252662,1777544943.5252662,267735.1341954,15,R_Foot,9,1,0.5838,0.8422,9.9244,9.6436,-1.3428,-1.4038,5.647,-4.9768,-131.6107,0.0597,0.0271,-0.9111,0.407
independent_20260430_182902,trial_001,subject_001,1777544943.5252662,1777544943.5252662,267735.1342897,10,L_Femur,20,1,-0.512,8.0438,3.8281,23.5596,-57.8003,-20.752,8.3221,-74.2017,6.4325,0.024,-0.6039,0.0009,0.7967
independent_20260430_182902,trial_001,subject_001,1777544943.5252662,1777544943.5252662,267735.1343812,11,L_Tibia,19,1,-0.3397,6.2686,-1.7418,76.416,-72.5098,11.5967,17.1771,-15.0568,140.7184,-0.0722,-0.183,0.9167,0.3479
independent_20260430_182902,trial_001,subject_001,1777544943.5252662,1777544943.5252662,267735.1344733,12,L_Foot,20,1,2.5888,7.0103,-0.4689,130.8594,-83.1909,-50.5371,-10.5579,1.3129,-73.2568,-0.0806,-0.0457,-0.5949,0.7984
independent_20260430_182902,trial_001,subject_001,1777544943.5252662,1777544943.5252662,267735.1345652,13,R_Femur,17,1,0.5359,9.556,-1.3494,40.4663,-29.1748,-7.8125,74.8718,-19.1272,-176.5723,0.1498,0.5952,-0.7857,-0.0775
independent_20260430_182902,trial_001,subject_001,1777544943.5252662,1777544943.5252662,267735.1346586,11,L_Tibia,20,1,2.4021,11.8815,1.8806,69.9463,-42.7856,14.4043,17.7374,-16.4136,139.5758,-0.0796,-0.1919,0.9101,0.3585
